site,device_id,equipment_type,level,status,candidate,test_CVRMSE_pct,test_skill,selection_skill,driver,driver_excitation,on_rows,flags
site_a,CT_06,cooling_tower,full_physical,identification_only,,,,,fan1_Hz,0.1519913216362531,5411,
site_a,CT_07,cooling_tower,full_physical,ok,YorkCalc,11.086738743857852,0.0896204086547771,0.1077367036399515,fan1_Hz,0.4001662916783209,37462,
site_a,CDWP_01,pump,full_physical,ok,speed_poly,9.276183024084592,1.4131089220532107,0.9413078919481918,speed_Hz,0.0011598207761585,29549,driver_not_excited:speed_Hz=0.001
site_a,CDWP_02,pump,full_physical,blocked_insufficient_identification,,,,,speed_Hz,0.4296758178035718,2369,
site_a,CDWP_03,pump,full_physical,ok,affinity,9.97740536783599,0.6000726485463815,0.2475943629170793,speed_Hz,0.3076854061890528,51490,
site_a,CDWP_04,pump,full_physical,blocked_insufficient_identification,,,,,speed_Hz,0.4319872400580478,3911,
site_a,CDWP_05,pump,full_physical,ok,affinity,7.141243738452582,0.7136382057533653,1.214282304764477,speed_Hz,0.0020273319644185,36559,driver_not_excited:speed_Hz=0.002
site_a,CDWP_06,pump,full_physical,identification_only,,,,,speed_Hz,0.0002649438347093,5545,driver_not_excited:speed_Hz=0.000
site_a,CDWP_07,pump,full_physical,ok,speed_poly,3.0389962744336847,2.313130847137066,1.0257026591806615,speed_Hz,0.0007998323024405,36291,driver_not_excited:speed_Hz=0.001
site_a,CHWP_01,pump,full_physical,ok,affinity,13.979030121491276,0.6252892283748779,0.6953313279095565,speed_Hz,0.0548538976366831,36794,driver_not_excited:speed_Hz=0.055
site_a,CHWP_02,pump,full_physical,identification_only,,,,,speed_Hz,0.0458375868800216,2396,driver_not_excited:speed_Hz=0.046
site_a,CHWP_03,pump,full_physical,ok,affinity,6.309124906616191,0.8129671128364786,0.9179693610989904,speed_Hz,0.0475748968943923,47054,driver_not_excited:speed_Hz=0.048
site_a,CHWP_04,pump,full_physical,identification_only,,,,,speed_Hz,0.055909933617094,5295,driver_not_excited:speed_Hz=0.056
site_a,CHWP_05,pump,full_physical,ok,speed_poly,15.649832049641535,0.7498815682504384,1.0111796226473366,speed_Hz,0.0631054949564736,50708,driver_not_excited:speed_Hz=0.063
site_a,CHWP_06,pump,full_physical,identification_only,,,,,speed_Hz,0.0233360197751083,5411,driver_not_excited:speed_Hz=0.023
site_a,CHWP_07,pump,full_physical,ok,affinity,8.689090193537325,1.081774329028307,1.077227722945192,speed_Hz,0.055045075261409,36050,driver_not_excited:speed_Hz=0.055
site_a,HXCWP_01,pump,full_physical,ok,affinity,8.489873968373521,1.19959510626211,1.3122624266690537,speed_Hz,0.0017478488882597,31857,driver_not_excited:speed_Hz=0.002
site_a,HXCWP_02,pump,full_physical,ok,affinity,7.425248957382421,1.0305087595079625,1.3275813730429262,speed_Hz,0.0010360012980367,29030,driver_not_excited:speed_Hz=0.001
site_a,HXCWP_03,pump,full_physical,identification_only,,,,,speed_Hz,0.0349756768908001,2423,driver_not_excited:speed_Hz=0.035
site_a,HX_01,heat_exchanger,full_physical,ok,ConstantEffectiveness,9.329780618998209,0.1819590781141264,0.1884359932316651,,,105120,run_signal_absent
site_a,HX_02,heat_exchanger,full_physical,ok,PlateEffectivenessNTU,7.971526794770151,0.1640252841718695,0.1313699379664082,,,105120,run_signal_absent
site_a,HX_03,heat_exchanger,blocked,blocked,,,,,,,105120,"run_signal_absent,target_sensor_dead"
tencent,CHI01,chiller,full_physical,ok,EEIR,3.292017192149218,0.2137119059001748,0.1304638233569608,cooling_load_W,0.9332459616829452,13134,
tencent,CHI02,chiller,full_physical,ok,EIR,1.3595472958973989,0.1009550193632742,0.1581222646651507,cooling_load_W,0.8513584762027954,13608,
tencent,CHI03,chiller,full_physical,ok,EEIR,6.824139495430516,0.5383698286926057,0.4537608809697714,cooling_load_W,0.666216930792642,11917,
tencent,CHI04,chiller,full_physical,ok,EEIR,11.162989346586192,1.1932865421717913,0.1359344628842968,cooling_load_W,1.5745124835596445,13783,
tencent,CHI05,chiller,full_physical,ok,EEIR,4.487416289538233,0.3012060440746582,0.0663004887492709,cooling_load_W,1.583701137499455,13140,
tencent,CHI06,chiller,full_physical,ok,EEIR,4.604353092945914,0.3537229861385407,0.356089902613192,cooling_load_W,0.6561685360302709,12976,
tencent,CT01,cooling_tower,full_physical,ok,YorkCalc,57.5144222093695,4.013470702454652,0.6507046312253305,fan1_Hz,0.4838709677419355,30717,
tencent,CT02,cooling_tower,full_physical,ok,Merkel,37.86448964168622,1.0267774676845,0.9440961752653368,fan1_Hz,0.4411764705882353,28813,
tencent,CT03,cooling_tower,full_physical,ok,YorkCalc,21.095115472120256,1.4356475463547664,0.4887345023521091,fan1_Hz,0.46875,32093,
tencent,CT04,cooling_tower,full_physical,ok,Merkel,30.10037156870171,2.70163460844892,0.2882065049640686,fan1_Hz,0.4285714285714285,32687,
tencent,CT05,cooling_tower,full_physical,ok,Merkel,23.5218448156776,0.6812987572250433,1.2844499688782218,fan1_Hz,0.4285714285714285,31142,
tencent,CT06,cooling_tower,full_physical,ok,YorkCalc,12.43042683296677,0.3320072956643744,0.1641920907697959,fan1_Hz,0.4285714285714285,30278,
tencent,CHWP01,pump,full_physical,ok,affinity,16.5347954989884,1.9714082766706944,1.5347460387291372,speed_Hz,0.1875,29797,
tencent,CHWP02,pump,full_physical,ok,speed_poly,8.261763833174975,0.9442866400893224,1.5286133410093794,speed_Hz,0.1515151515151515,23312,
tencent,CHWP03,pump,full_physical,ok,affinity,13.442296174118669,1.2534865739576408,2.216336433331224,speed_Hz,0.1875,27702,
tencent,CHWP04,pump,full_physical,ok,affinity,15.705775590080137,1.9588627064620967,1.0543785705130673,speed_Hz,0.15625,43038,
tencent,CHWP05,pump,full_physical,ok,affinity,14.556585634540117,1.0574606055699407,0.701668203873743,speed_Hz,0.1875,36401,
tencent,CHWP06,pump,full_physical,ok,speed_poly,27.84150389596032,1.535353126567689,1.9998717226053409,speed_Hz,0.1818181818181818,23989,
tencent,CWP01,pump,full_physical,ok,speed_poly,18.6390716014707,0.6388074807424569,0.4819208035614794,speed_Hz,0.25,28567,
tencent,CWP02,pump,full_physical,ok,affinity,23.374783135551283,0.8202770092303254,1.1787395740751132,speed_Hz,0.25,24690,
tencent,CWP03,pump,full_physical,ok,speed_poly,22.98821900357126,0.7707432774505132,0.7384629966671318,speed_Hz,0.2666666666666666,30735,
tencent,CWP04,pump,full_physical,ok,speed_poly,23.617388838917133,1.0822010451048003,0.9733012310974788,speed_Hz,0.2666666666666666,34937,
tencent,CWP05,pump,full_physical,ok,affinity,22.77455938798419,0.6654247276672852,0.654691960711294,speed_Hz,0.2666666666666666,25149,
tencent,CWP06,pump,full_physical,ok,speed_poly,22.825669992427304,0.70772218243259,0.7867202133195405,speed_Hz,0.25,19258,
tencent,HEX01,heat_exchanger,nominal_only,power_calibration_blocked,nominal_only,,,,,,105731,run_signal_absent
tencent,HEX02,heat_exchanger,nominal_only,power_calibration_blocked,nominal_only,,,,,,105731,run_signal_absent
tencent,HEX03,heat_exchanger,nominal_only,power_calibration_blocked,nominal_only,,,,,,105731,run_signal_absent
tencent,HEX04,heat_exchanger,nominal_only,power_calibration_blocked,nominal_only,,,,,,105731,run_signal_absent
tencent,HEX05,heat_exchanger,nominal_only,power_calibration_blocked,nominal_only,,,,,,105731,run_signal_absent
tencent,HEX06,heat_exchanger,nominal_only,power_calibration_blocked,nominal_only,,,,,,105731,run_signal_absent
hkust,CH-01,chiller,full_physical,ok,EEIR,2.593414406316006,0.1752407132249223,0.1701730543622675,cooling_load_W,0.442541616384098,20715,liveness_channel_absent
hkust,CH-02,chiller,full_physical,ok,EEIR,10.484141309737437,0.6162313225379368,0.6754056546443605,cooling_load_W,0.4399827042298168,24512,liveness_channel_absent
hkust,CH-03,chiller,full_physical,ok,EIR,9.84251542579275,0.6489635821612246,0.7945323319073119,cooling_load_W,0.5153189272168166,18799,liveness_channel_absent
hkust,CH-04,chiller,full_physical,ok,EIR,5.999856327310744,0.3772072104453423,0.4472003957864522,cooling_load_W,0.5236326121794869,14357,liveness_channel_absent
hkust,CH-05,chiller,full_physical,ok,EIR,9.080648663023537,0.6410799531682909,0.3005108607160416,cooling_load_W,0.4699514577379409,16672,liveness_channel_absent
hkust,CH-06,chiller,full_physical,ok,EEIR,4.3956855185908505,0.2855878822302421,0.2946772932445863,cooling_load_W,0.44239600475775,15164,liveness_channel_absent
hkust,CH-07,chiller,full_physical,ok,EEIR,8.256926800262141,0.6021537732571559,0.3777444552593211,cooling_load_W,0.4260907310183086,14571,liveness_channel_absent
hkust,CH-08,chiller,full_physical,ok,EIR,14.644467821304124,1.2834448817215418,1.1543135136303924,cooling_load_W,0.5000000000000003,1013,"liveness_channel_absent,frozen_channel:chw_flow_m3_h=97.9,frozen_channel:cw_flow_m3_h=97.9,cop_below_unity:reconstructed_COP=32.6"
hkust,CH-09,chiller,full_physical,ok,EEIR,2.711992782229612,0.4040006894192016,0.2683232418047027,cooling_load_W,0.4598123940592594,13440,"liveness_channel_absent,frozen_channel:cw_flow_m3_h=100"
hkust,CT1,pump,blocked,blocked,,,,,speed_Hz,1.810407110091742,13015,"run_signal_uncorroborated:59pct_by_speed_Hz,synthetic_channel:power_W"
hkust,CT2,pump,blocked,blocked,,,,,speed_Hz,1.8195179306290417,13095,synthetic_channel:power_W
hkust,CT3,pump,blocked,blocked,,,,,speed_Hz,1.833725029377204,12684,"run_signal_uncorroborated:60pct_by_speed_Hz,synthetic_channel:power_W"
hkust,CT4,pump,blocked,blocked,,,,,speed_Hz,1.81336405529954,12596,"run_signal_uncorroborated:57pct_by_speed_Hz,synthetic_channel:power_W"
hkust,CWP10,pump,blocked,blocked,,,,,speed_Hz,1.087239583333333,5994,"run_signal_uncorroborated:86pct_by_speed_Hz,synthetic_channel:power_W"
hkust,CWP11,pump,blocked,blocked,,,,,speed_Hz,0.5758270842523159,2973,"run_signal_uncorroborated:69pct_by_speed_Hz,synthetic_channel:power_W"
hkust,CWP12,pump,blocked,blocked,,,,,speed_Hz,1.895678092399404,6847,"run_signal_uncorroborated:61pct_by_speed_Hz,synthetic_channel:power_W"
hkust,CWP13,pump,blocked,blocked,,,,,speed_Hz,1.1003963011889033,6095,"run_signal_uncorroborated:83pct_by_speed_Hz,synthetic_channel:power_W"
hkust,CWP14,pump,blocked,blocked,,,,,speed_Hz,,8,liveness_channel_absent
hkust,CWP15,pump,blocked,blocked,,,,,speed_Hz,0.579382183908046,2992,"run_signal_uncorroborated:75pct_by_speed_Hz,synthetic_channel:power_W"
hkust,CWP16,pump,nominal_only,power_calibration_blocked,nominal_only,,,,speed_Hz,,43727,"run_signal_dead,liveness_channel_absent,target_sensor_dead"
hkust,CWP17,pump,blocked,blocked,,,,,speed_Hz,,16,run_signal_uncorroborated:95pct_by_speed_Hz
hkust,CWP18,pump,full_physical,data_limited,,,,,speed_Hz,,43727,"run_signal_dead,liveness_channel_absent"
hkust,PP1,pump,blocked,blocked,,,,,speed_Hz,0.0624865010799136,6673,"run_signal_uncorroborated:51pct_by_speed_Hz,driver_not_excited:speed_Hz=0.062,synthetic_channel:power_W"
hkust,PP2,pump,blocked,blocked,,,,,speed_Hz,0.052660152008686,5089,"run_signal_uncorroborated:55pct_by_speed_Hz,driver_not_excited:speed_Hz=0.053,synthetic_channel:power_W"
hkust,PP3,pump,blocked,blocked,,,,,speed_Hz,0.0580086580086579,6693,"run_signal_uncorroborated:55pct_by_speed_Hz,driver_not_excited:speed_Hz=0.058,synthetic_channel:power_W"
hkust,PP4,pump,blocked,blocked,,,,,speed_Hz,0.0612411540555253,6446,"run_signal_uncorroborated:54pct_by_speed_Hz,driver_not_excited:speed_Hz=0.061,synthetic_channel:power_W"
hkust,PP5,pump,blocked,blocked,,,,,speed_Hz,0.0486276849642006,6472,"run_signal_uncorroborated:66pct_by_speed_Hz,driver_not_excited:speed_Hz=0.049,synthetic_channel:power_W"
hkust,PP6,pump,blocked,blocked,,,,,speed_Hz,0.062936436884512,5882,"run_signal_uncorroborated:72pct_by_speed_Hz,driver_not_excited:speed_Hz=0.063,synthetic_channel:power_W"
hkust,PP7,pump,blocked,blocked,,,,,speed_Hz,0.0677915034648991,6311,"run_signal_uncorroborated:69pct_by_speed_Hz,driver_not_excited:speed_Hz=0.068,synthetic_channel:power_W"
hkust,PP8,pump,blocked,blocked,,,,,speed_Hz,0.2822769953051644,9563,"run_signal_uncorroborated:22pct_by_speed_Hz,synthetic_channel:power_W"
hkust,PP9,pump,blocked,blocked,,,,,speed_Hz,0.0810261620523243,6413,"run_signal_uncorroborated:59pct_by_speed_Hz,driver_not_excited:speed_Hz=0.081,synthetic_channel:power_W"
hkust,SWP1,pump,blocked,blocked,,,,,speed_Hz,0.2191872929253558,2609,"run_signal_uncorroborated:92pct_by_speed_Hz,synthetic_channel:power_W"
hkust,SWP2,pump,blocked,blocked,,,,,speed_Hz,0.0555439548966381,5698,"run_signal_uncorroborated:51pct_by_speed_Hz,driver_not_excited:speed_Hz=0.056,synthetic_channel:power_W"
hkust,SWP3,pump,blocked,blocked,,,,,speed_Hz,0.1630504148053607,4617,"run_signal_uncorroborated:89pct_by_speed_Hz,synthetic_channel:power_W"
hkust,SWP4,pump,blocked,blocked,,,,,speed_Hz,0.0914081145584724,5535,"run_signal_uncorroborated:49pct_by_speed_Hz,driver_not_excited:speed_Hz=0.091,synthetic_channel:power_W"
hkust,SWP5,pump,blocked,blocked,,,,,speed_Hz,0.2053098885793871,3141,"run_signal_uncorroborated:91pct_by_speed_Hz,synthetic_channel:power_W"
hkust,SWP6,pump,full_physical,data_limited,,,,,speed_Hz,0.0,17455,driver_not_excited:speed_Hz=0.000
hkust,SWP7,pump,blocked,blocked,,,,,speed_Hz,0.0483670520231215,4787,"run_signal_uncorroborated:69pct_by_speed_Hz,driver_not_excited:speed_Hz=0.048,synthetic_channel:power_W"
hkust,SWP8,pump,blocked,blocked,,,,,speed_Hz,,28,run_signal_uncorroborated:94pct_by_speed_Hz
hkust,SWP9,pump,full_physical,data_limited,,,,,speed_Hz,,4688,liveness_channel_absent
lbnl,CHI1,chiller,full_physical,ok,EEIR,31.131192044001548,0.5386881648563063,0.422521543747155,cooling_load_W,1.475082331566486,5161,"run_signal_uncorroborated:71pct_by_load_pct,cop_below_unity:reconstructed_COP=2"
lbnl,CHI2,chiller,full_physical,ok,EIR,11.248114333185567,0.4014160445619563,0.3326626422848758,cooling_load_W,0.6124542433979653,2104,"frozen_channel:chw_flow_m3_h=95.8,frozen_channel:cw_flow_m3_h=95.9"
lbnl,CHI3,chiller,blocked,blocked,,,,,cooling_load_W,,75,
lbnl,CT1,cooling_tower,full_physical,ok,YorkCalc,27.612933845930154,0.2495443480106764,0.1904648874995794,fan1_Hz,0.9046337018956514,17518,
lbnl,CT2,cooling_tower,full_physical,ok,YorkCalc,8.667629747224206,0.180887894907545,0.181447406981098,fan1_Hz,0.585929396440101,2185,frozen_channel:attributed_flow_m3_h=95.9
lbnl,CT3,cooling_tower,blocked,blocked,,,,,fan1_Hz,,76,
lbnl,SCHWP1,pump,full_physical,ok,affinity,22.581013029887064,0.6506423423905665,1.0796139736959165,speed_Hz,0.7712272951694792,17518,
lbnl,SCHWP2,pump,full_physical,ok,affinity,3.234227400672187,0.1793224249342102,1.0234037001107466,speed_Hz,0.376513841382555,11137,
