site,device,equipment,n_mapped_channels,n_independent_signals,n_dead,n_synthetic_roles,independent_roles,synthetic_roles
hkust,pump_cwp15,pump,5,4,0,2,power_W|run_signal|speed_Hz|head_m,flow_m3_h|speed_Hz
hkust,pump_cwp16,pump,5,1,4,0,head_m,
hkust,pump_cwp17,pump,5,5,0,0,power_W|run_signal|speed_Hz|flow_m3_h|head_m,
hkust,pump_cwp18,pump,5,2,3,0,power_W|head_m,
hkust,pump_pp1,pump,5,4,0,2,power_W|run_signal|speed_Hz|head_m,flow_m3_h|speed_Hz
hkust,pump_pp2,pump,5,4,0,2,power_W|run_signal|speed_Hz|head_m,flow_m3_h|speed_Hz
hkust,pump_pp3,pump,5,4,0,2,power_W|run_signal|speed_Hz|head_m,flow_m3_h|speed_Hz
hkust,pump_pp4,pump,5,4,0,2,power_W|run_signal|speed_Hz|head_m,flow_m3_h|speed_Hz
hkust,pump_pp5,pump,5,4,0,2,power_W|run_signal|speed_Hz|head_m,flow_m3_h|speed_Hz
hkust,pump_pp6,pump,5,4,0,2,power_W|run_signal|speed_Hz|head_m,flow_m3_h|speed_Hz
hkust,pump_pp7,pump,5,4,0,2,power_W|run_signal|speed_Hz|head_m,flow_m3_h|speed_Hz
hkust,pump_pp8,pump,5,4,0,2,power_W|run_signal|speed_Hz|head_m,flow_m3_h|speed_Hz
hkust,pump_pp9,pump,5,4,0,2,power_W|run_signal|speed_Hz|head_m,flow_m3_h|speed_Hz
hkust,pump_swp1,pump,5,4,0,2,power_W|run_signal|speed_Hz|head_m,flow_m3_h|speed_Hz
hkust,pump_swp2,pump,5,4,0,2,power_W|run_signal|speed_Hz|head_m,flow_m3_h|speed_Hz
hkust,pump_swp3,pump,5,4,0,2,power_W|run_signal|speed_Hz|head_m,flow_m3_h|speed_Hz
hkust,pump_swp4,pump,5,4,0,2,power_W|run_signal|speed_Hz|head_m,flow_m3_h|speed_Hz
hkust,pump_swp5,pump,5,4,0,2,power_W|run_signal|speed_Hz|head_m,flow_m3_h|speed_Hz
hkust,pump_swp6,pump,5,5,0,0,power_W|run_signal|speed_Hz|flow_m3_h|head_m,
hkust,pump_swp7,pump,5,4,0,2,power_W|run_signal|speed_Hz|head_m,flow_m3_h|speed_Hz
hkust,pump_swp8,pump,5,4,0,2,power_W|run_signal|speed_Hz|head_m,flow_m3_h|speed_Hz
hkust,pump_swp9,pump,5,3,2,0,power_W|run_signal|head_m,
lbnl,chiller_chi1,chiller,9,8,1,0,power_W|tchws_C|tchwr_C|tcws_C|tcwr_C|chw_flow_m3_h|cw_flow_m3_h|load_pct,
lbnl,chiller_chi2,chiller,9,9,0,0,power_W|tchws_C|tchwr_C|tcws_C|tcwr_C|chw_flow_m3_h|cw_flow_m3_h|run_signal|load_pct,
lbnl,chiller_chi3,chiller,9,9,0,0,power_W|tchws_C|tchwr_C|tcws_C|tcwr_C|chw_flow_m3_h|cw_flow_m3_h|run_signal|load_pct,
lbnl,cooling_tower_ct1,cooling_tower,8,6,1,2,power_W|tcwr_C|tcws_1_C|twb_C|fan1_Hz|attributed_flow_m3_h,fan1_Hz|fan2_Hz
lbnl,cooling_tower_ct2,cooling_tower,8,7,0,2,power_W|tcwr_C|tcws_1_C|twb_C|fan1_Hz|attributed_flow_m3_h|run_signal,fan1_Hz|fan2_Hz
lbnl,cooling_tower_ct3,cooling_tower,8,8,0,0,power_W|tcwr_C|tcws_1_C|twb_C|fan1_Hz|fan2_Hz|attributed_flow_m3_h|run_signal,
lbnl,pump_schwp1,pump,3,2,1,0,power_W|speed_Hz,
lbnl,pump_schwp2,pump,3,3,0,0,power_W|speed_Hz|run_signal,
